i
Looking forward to it if you just act normal respect the culture and country and you will be ok.  No one needs to know someone is gay just like no one needs to know if you hetero.  Just save that for behind closed doors and make sure it&#39;s between consenting adults.  Children and animals are not consenting adults btw you perverts.
Honestly every country in the world has done bad. May Allah bless these workers who have done so much for the country. However to call it slavery is too far. They r not taking them without there will, like when British and Americans killed and took thousands of slaves. They come here for better options. Of course it can be better however it is much better than what was happening to them in their own countries.
if you don't like it stay home and the last people talking about human rights is the west.
So we can’t boycott a football game ( a trivial matter)  to protest a repressive homophobic regime. But we can boycott Russian gas ( an essential commodity to keep us all warm) to protest a repressive homophobic regime? neo liberal values in a nutshell.
I see everyone kept their mouth shut with Russia&#39;s world cup
Did Qatar invade any country and kill millions? Who are robbing Africa? Western hypocrisy has no limit.
They are treated unfairly so they had to bribe only to be called corrupt
If this was Russia most teams would have pulled out!
Can&#39;t help think the tone of this report would have been different if it was Russia being accused of human rights violation!
These pigs are paying lot of liberals in western countries and funding many media orgs
As a Muslim, I am proud that the World Cup is being hosted in a Muslim country. The West has an agenda against Muslim nations, that is why they attack Qatar. Where were these cries for &quot;human rights&quot; when Russia hosted the world cup?<br><br>No one objected to Brazil or South Africa hosting the world cup despite most of their population starving?<br><br>The most criminal countries such as America, England and France have also hosted the world cup. These are govenrments who wiped out thousands of innocent people in Muslim countries with their drone strikes.<br><br>Why didn&#39;t anyone speak out against them hosting the world cup?
So America wasn&#39;t corrupt?
It is about soccer. Not LGBTQ 🏳️‍🌈 <br>They shouldn’t make every event about lgbtq
well................
Just respect other countries laws and beliefs.
selective morality, israel is invited to eurovision and european championships but they want us to be upset about qatar, hypocrite 🙄🙄
Well hope  qp kp  ero  3 code  <br>Income  you I&#39;m  3 layar <br>Qp   KP   <i>ERO EEE</i><br>YOU I&#39;M AZ ORGANIZATION
An apology won’t bring those dead labour  back alive
When is the west going to respecting other countries without pushing their agenda, I mean we all know this ain’t about the workers sharing rooms or the stadium being moveable ( it’s about the west pushing so called LGBQT) no wonder why only the west condemned Russia and the world didn’t
Shame on qatar killing 100000 workers
Good job Qatar 🇶🇦 don’t let other countries bully you 😎👍❤️
Arab using western accent .......he even hates hiz own culture 😂😂
why don&#39;t the rich arab take ther middeleast people to Labour  .. same culture..
Better stay with family watch in big projector drink party freely enjoy football who want to die or put life on risk .... Qatar is not a place for travel party enjoy football No way love my life
The bloody absurd thing is, why would you give a hosting right to a nation with an appalling human rights record, that haven&#39;t even qualified to the World Cup since the beginning of the time prior to this? They bloody bought it for goodness&#39; sake. They don&#39;t have sufficient amount of stadiums capable of hosting before they got the rights. Just for the sake of diversity (which is surely not)? Or money? They only have three hundred thousand native population there. These w⚓s of FIFA.
I cannot understand why this is still going on. Many countries are unable to accept that the world cup is going to happen. There have been investigations regarding this topic and nothing major was found to cancel the tournament. It is getting ridiculous now, accept the fact that it happening. Countries should look at themselves, make their countries better and then focus on other countries. Many people won&#39;t like about what I am going to say but they( countries) are also not happy bcoz Qatar is going to earn a lot of money due to the world cup.
