,Date,User,Tweet
39,2022-09-18 13:40:02+00:00,africasnas,Why didn't anyone tell me #LoveIsBlindJapan was this good? Omg https://t.co/xY450z8soT
40,2022-09-18 09:01:35+00:00,ponadniebo,"Whaaaaaaat jaki plot twist #LoveIsBlindJapan

Ona była wkurwiająca, but ale im kibicuje teraz 😭😭😭😭😭😭 https://t.co/gtMC5AwodD"
41,2022-09-18 06:27:39+00:00,ATZHSEOK,"AND FUCK YUDAI,, hes literally so fucking weird for making the most hasty ass decision like u are proposing to someone, its not easy, u never even clarified to the rest of the women u are talking to what ur decision was?? he honestly treated the show like a joke #LoveIsBlindJapan"
42,2022-09-17 13:55:20+00:00,naagnoolantics,what is wrong with ayano’s hair…like why is no one telling her it looks like that????? #LoveIsBlindJapan
43,2022-09-17 10:32:02+00:00,ATZHSEOK,first 20 mins in and ik this mf did not just say that the kitchen is a woman’s domain……. BOOOO TOMATO TOMATO #LoveIsBlindJapan https://t.co/LERT8R6fU5
44,2022-09-17 09:57:03+00:00,sengyoshufublog,"アヤノちゃんが最後さらっと流したのは、あの時のシュンタロウの顔＆雰囲気怖かったからでは？
今からお前を説教してやるみたいなオーラを感じた
アヤノに話してほしい事があるなら、自分から聞けば良い。年上の割に優しくないと思ってしまった...すいません

#ラブイズブラインド
#LoveIsBlindJapan"
45,2022-09-17 07:16:07+00:00,sengyoshufublog,"ミドリちゃんがアヤノちゃんの味方として、ズバズバとシュンタロウさんに突っ込んでく姿めっちゃ好き（笑）
オダッチのあの態度にも一刀両断してくれて、気持ちいいわー

#ラブイズブラインド
#LoveIsBlindJapan"
46,2022-09-16 11:23:06+00:00,sengyoshufublog,"改めて見返してるけど、ナナちゃんかわいそうなんだけど
やっぱり若い子を選ぶってこういうリスクがあるのだと再認識した。
ナナちゃん、優しくユウダイを諭してて偉いと思った
ユウダイはマッチングアプリで十分だった
ナナちゃん幸せになってほしい.......

#ラブイズブラインド
#LoveIsBlindJapan"
47,2022-09-16 00:36:19+00:00,sengyoshufublog,"ミサキの「過去やしね」という軽い反応は、それを求めてる人には良い
だけど、カオルはもっと一緒に寄り添ってほしい、受けとめてほしいの人なんだよな
ミサキはカオルのケニア以外のどこが好きなのか見えなかった
根本的にミサキは他人に興味ないような...

#ラブイズブラインド
#LoveIsBlindJapan"
48,2022-09-15 14:26:25+00:00,salaryman110,"#loveisblindjapan was an interesting netflix show. apparently some of the japan members are still doing streams #netflix
https://t.co/h73ZncPOox"
49,2022-09-15 02:48:47+00:00,sengyoshufublog,"９話のドレス選びみたけど、藤井隆さんと板谷由夏さんが素敵過ぎた
板谷さんの写真撮る優しさは心温まった
藤井隆さんの花嫁が主役だよも、さすがだった。
潜在意識ってこういう時に出るんだなあ

#ラブイズブラインド
#LoveIsBlindJapan"
50,2022-09-15 02:07:10+00:00,sengyoshufublog,"シュンタロウさん、アヤノちゃんのお友達に「若いですねー」って言われた時
一言もありがとうございますって言わなかったの気になった。
うん、うんって
そうだよ。俺は若く見えるんだぞみたいな雰囲気だった...

#ラブイズブラインド
#LoveIsBlindJapan"
51,2022-09-14 22:13:39+00:00,truly_wild,Wataru &amp; Midori are having a baby #LoveIsBlindJapan
52,2022-09-14 08:40:46+00:00,Ellinadear,"Wait wait waitttt...WHAT??
Ayano &amp; Mori got together 

#loveisblindjapan https://t.co/5yy8pROk0N"
53,2022-09-14 01:24:58+00:00,ayani0625,"インライの字幕ようやく終わって
後編やっとあげれた🥲
動画の後半は私たちにとってのラブイズブラインドとは、公表するにあたってなど
真面目なこと話してました😌
https://t.co/6ExF5F1ygD
#ラブイズブラインド　#LoveIsBlindJapan #ラブイズブラインドjapan https://t.co/heUBWaDNGT"
54,2022-09-13 07:52:43+00:00,sengyoshufublog,"アヤノちゃんもっとシュンタロウさんに向き合ってーって思ったけど、
なかなか50代の人にズバズバ言えないよね
シュンタロウさんにも独特の壁があるし
でも、ワンちゃんが癌だった事は言ってあげてほしかった。犬を理由に、同棲を避けてるように見えてしまった

#ラブイズブラインド
#LoveIsBlindJapan"
55,2022-09-13 05:39:13+00:00,sengyoshufublog,"ミズキさん、何故今は経営者じゃないって言わなかったんだ。それって見栄じゃないか
「今は社員だけど、いずれは経営者になるように頑張ってるんだ」と一言先にプリちゃんに言うべきだった。
【飲食店経営者】という肩書に酔ってるだけだぞ

#ラブイズブラインド
#LoveIsBlindJapan"
56,2022-09-13 05:10:16+00:00,sengyoshufublog,"ミサキくんの「なんとかなる」マインドは良いと思うが
彼には付いてきてくれる、合わせてくれる女子しか無理だと思った。カオルさんのように夢がある人では厳しい
彼に子育てとか求めてはダメだね。私が頑張るから好きな事していいよ!の女性しか無理だな

#ラブイズブラインド
#LoveIsBlindJapan"
57,2022-09-13 05:07:17+00:00,sengyoshufublog,"なぜモトミちゃんはお味噌汁でマウントを取るのか?
「わたしのお味噌汁美味しいよー。具だくさんだよー」で良くない?
あとスパゲティにお味噌汁ってどうなの？と思ってしまった

#ラブイズブラインド
#LoveIsBlindJapan"
58,2022-09-11 22:42:04+00:00,inefablechaeng,Ryotaro and Motomi #LoveIsBlindJapan https://t.co/pO5p4QwhYI
59,2022-09-11 19:03:30+00:00,ms_bhunmy,"Awwww my people are expecting 🥰💃🏽💃🏽🎉

#LoveIsBlindJapan https://t.co/TJBKEtWBaI"
60,2022-09-11 13:12:15+00:00,sengyoshufublog,"ミナミちゃんもモリさんも二人とも悪くないし、間違ってないと思う
ただ、お互いに合わなかった。
二人とも自分を受け入れてくれる人を求めているだけ。お互いに受け入れる人が必要だったかなーと
お別れの時のミナミちゃんは素が出ていて良かったです(^^)

#ラブイズブラインド
#LoveIsBlindJapan"
61,2022-09-11 12:13:27+00:00,sengyoshufublog,"ミナミちゃんは不器用＆男性が苦手なのかなと思った
私は私なのよ!の強気のバリアを解除した時のミナミちゃんは可愛いかった。
柔軟になれない、強がりな気持ちも同感してしまった。だけど、柔軟になった方がミナミちゃん自身生きやすいよーとオバさんは思った
#ラブイズブラインド
#LoveIsBlindJapan"
62,2022-09-11 12:10:27+00:00,sengyoshufublog,"大変申し訳ないが、最初はプリちゃんに苦手意識を持っていた。
しかし、明確に目標もあり、ビジョンもしっかりしていて、頭のキレもいい女性とわかった
結構男前な部分があって好きかも
#ラブイズブラインド
#LoveIsBlindJapan"
63,2022-09-11 12:08:55+00:00,sengyoshufublog,"ラブイズブランド　ジャパンを見ている
いくら素敵な人だからって50代の出演には疑問がある
女性に40,50代はいないのに、なぜ(?_?)
ちなみに、ご本人は悪くないです。制作側の意図が読めません....

#ラブイズブラインド
#LoveIsBlindJapan"
64,2022-09-08 19:14:17+00:00,guarafunny,To achando esse #LoveIsBlindJapan bem boring. Não terminei nem o 1º ep e já to com vontade de largar.
65,2022-09-08 17:47:40+00:00,mememe_omedetou,"寝て起きてよふかし中
LoveIsBrindJapanのアヤノちゃんがモリさんとくっついて良かった
モヤモヤがひとつ消えた
モリさんお洋服愛すごかったもん
アヤノちゃんのなかなか気持ちを伝えられないところとか好きだったし彼女もとてもファッショナブル
幸せになって欲しいです🫶
#LoveIsBlindJapan"
66,2022-09-08 06:01:55+00:00,ayani0625,"ラブイズブラインド続きだけど
この日は幸せで溢れてて載せるしかない🥺🤍
POD期間中、毎晩もとみん、ななちゃん、みどちゃんと集まってお互い背中を押し合ったのフラッシュバックして
うるうるしちゃった🥹
みどちゃんの真っ直ぐさがずっと大好き🤍
#ラブイズブラインド
#LoveIsBlindJapan https://t.co/euJwmJVb5d"
67,2022-09-07 19:32:25+00:00,miharunrun0509,そしてミドリさんとワタルさん、本当おめでとうございますです😭😭😭😭ワタルさんのストーリー？か何かにちらっと見えたミドリさんのお腹ポッコリだったから、まさかと思いきや...！幸せになって欲しいし、元気なベイビーが生まれてきますように...🙏❤️ #loveisblindjapan
68,2022-09-07 19:30:29+00:00,miharunrun0509,えぇーーーー😳😳😳😳まさかのそことそこがくっつくの😳😳😳😳😳😳😳衝撃(笑) #loveisblindjapan
69,2022-09-07 15:18:20+00:00,misakiJambo,"わたるさんみどりちゃん素敵な空間をありがとうございました。
改めておめでとうございます。

Had blessed moments with my great fellow from Love is Blind Japan!! 

#loveisblind
#loveisblindjapan
#netflix
#netflixjapan https://t.co/dtcfbXelIN"
70,2022-09-07 12:14:12+00:00,workingmomtokyo,"見える、見えるわ。このおふたりとキュートな👶🏻がGymboreeやMy Gym、そして名門インターのOpen Houseで目撃される未来が…👀‼️おめでとうございます🥂🍾💕

#LoveIsBlindJapan
#ラブイズブラインド https://t.co/ixasitfREU"
71,2022-09-07 09:56:48+00:00,mistyminds,"モリさんとアヤノさん、オシャレ好き同士で本当にお似合い😊💕おめでとうございます！あらためて最初から見直し始めましたw
#LoveIsBlindJapan
#ラブイズブラインド"
72,2022-09-07 03:55:18+00:00,coco_koalala,もう一回 #LoveIsBlindJapan 見直してる🤣❤️
73,2022-09-07 03:50:00+00:00,yi_yi13,あやのさんとモリさん付き合ってるだなんてびっくり&amp;嬉しい〜😍😍😍お2人ともお洒落さんでお似合いだよね🙈💕末永くお幸せに💕#ラブイズブラインド #LoveIsBlindJapan
74,2022-09-07 03:48:59+00:00,FFayAlice,"อายาโนะซังกับคุณหมอโมริคบกันแล้ว!
ชั้นว่าละ แอบได้กลิ่นเบาๆ อยู่ เห็นคุณหมอตามกดไลค์ทุกรูป แถมเคมีก็เหมือนจะเข้ากันตั้งแต่ตอน love is blind แต่ไม่ได้เลือกกันเอง ไม่งั้นน่าจะเอวังสวยงามไปอีกคู่เลย 💓

ไม่เป็นไร รอติดตามและเชียร์หลังจากนี้ ~

#LoveIsBlindJapan https://t.co/G71X2Yyo2I"
75,2022-09-07 03:14:15+00:00,jerukjepang,"wooow ayano and mori from #LoveIsBlindJapan actually ended up together post-show

which is nice to hear cause i think they really complimented each other"
76,2022-09-07 01:31:42+00:00,thamigrech,midori tá grávida aaaaaaa #loveisblindjapan
77,2022-09-07 00:23:49+00:00,ek_1D,"ラブイズブラインドのアヤノ、ドクターのモリさんと付き合ってるんか
#LoveIsBlindJapan https://t.co/0LjyvMNLNy"
78,2022-09-06 18:12:11+00:00,imskawngur,"Casamento as cegas Japão entregando tudo sem prometer nada até hj, depois do primeiro baby love is blind com a Midori gravidinha do Wataru veio aí Ayano e Mori namorando kkkkkk eles não formaram casal na cabine mas o relacionamento aconteceu depois aqui fora #LoveIsBlindJapan https://t.co/V8XHRcf6W6"
79,2022-09-06 14:39:02+00:00,Artitaya_C,คุณหมอ สลับคู่ เเต่เหมาะกันมากกก #LoveIsBlindJapan https://t.co/HRWesUZ13F
80,2022-09-06 14:24:42+00:00,suikyo_ss,"ラブイズブラインドのあやのと森さんが…❗️

#ラブイズブラインド 
#LoveIsBlindJapan https://t.co/OsCE2jjAOP"
81,2022-09-06 14:16:05+00:00,happilyboredg,モリさんとアヤノさんやっぱそうだったのね😳✨#loveisblindjapan
82,2022-09-05 19:56:23+00:00,itsxchildsxplay,"🥰🥰 I still love the #LoveIsBlindJapan cast so much and what great news: Midori and Wataru are expecting baby Mitaru! Aw they'll be new parents next year 🥹
 https://t.co/4sp722eIkz

#LoveIsBlind
#loveisblindjapan https://t.co/DkjCo9baRJ"
83,2022-09-04 06:16:47+00:00,happilyboredg,ミドリさんのパーティー、ワタルさんがプロポーズしたレストラン🥺？？素敵😭#loveisblindjapan
84,2022-09-04 01:56:00+00:00,mamedanusan,"シュンタロウさんさすが写真上手い
#MITARU #LoveIsBlindJapan 

https://t.co/gMxmnVvinJ"
85,2022-09-04 01:06:06+00:00,hangyulcrystal,acabando a noite com a noticia q a midori e o wataru de #LoveIsBlindJapan #casamentoascegasjapao vão ter um bebê mano ela tá grávida de vdd 😭😭😭😭😭😭😭 mds shippei tanto esse casal e agr veio ai os mimos 😭😭😭😭😭😭😭
86,2022-09-03 16:32:29+00:00,claaugaarcia_,"Él: quiero que que mi pareja me apoye en mis sueños
Ella: mi padre murió y mi madre trabajaba, por eso si mi marido muriera, quiero poder mantener a mis hijos
Él: deberíamos separarnos

Conversación de besugos madre mía #LoveIsBlindJapan"
87,2022-09-03 15:07:34+00:00,claaugaarcia_,"En la americana a estas alturas ya han hecho de todo, aquí con suerte se dan la mano #loveisblindjapan"
88,2022-09-03 15:05:59+00:00,claaugaarcia_,Soy yo o son las chicas las que tienen más dudas y los chicos simplemente... Carpe diem #loveisblindjapan
